Chad,64,60,57
Lesotho,60,60,60
Malta,58,63,59
Namibia,66,55,59
Faroe Islands,62,59,58
Montserrat,60,61,58
Tajikistan,61,59,58
Malaysia,57,59,61
Kyrgyzstan,58,60,58
Puerto Rico,62,53,61
Taiwan,58,62,56
Indonesia,60,57,58
Liechtenstein,55,61,59
Singapore,58,57,59
French Guiana,59,56,59
Sao Tome and Principe,60,55,58
Gibraltar,56,58,58
Bermuda,61,55,55
Nicaragua,60,55,56
Barbados,58,53,59
Mauritius,55,58,57
St Vincent and the Grenadines,57,57,56
Aruba,53,57,58
New Caledonia,55,55,58
South Sudan,57,56,55
Yemen,56,57,55
Andorra,55,55,57
Guam,54,58,55
Papua New Guinea,55,57,55
Fiji,60,52,54
St Lucia,56,52,58
Belize,53,60,52
Eritrea,57,57,51
Pakistan,54,55,56
Eswatini,53,55,56
Laos,56,55,53
Somalia,53,58,53
Solomon Islands,55,54,54
Bangladesh,55,54,52
Nepal,55,53,53
Dominica,54,52,54
Guadeloupe,56,51,53
Bahamas,57,50,52
Saint Martin,54,52,53
Maldives,57,55,46
Seychelles,52,54,52
Sri Lanka,53,51,54
Bhutan,55,52,49
Myanmar,55,53,48
Brunei,53,51,51
Bonaire,55,49,51
Isle of Man,52,52,51
Vanuatu,50,52,52
Jersey,51,51,51
Cayman Islands,51,52,49
Monaco,48,49,55
Mayotte,52,50,50
Cambodia,53,49,48
Djibouti,52,50,48
Mongolia,53,50,47
US Virgin Islands,52,50,48
Sint Maarten,53,48,49
San Marino,51,49,49
Samoa,51,49,48
Cook Islands,50,47,45
Western Sahara,49,44,49
Tonga,46,48,47
Timor-Leste,53,44,43
Macau,41,51,46
Turks and Caicos Islands,49,43,43
Guernsey,46,45,44
Anguilla,47,44,43
Greenland,44,44,44
British VI,45,42,43
Tuvalu,43,42,40
American Samoa,39,42,41
Northern Mariana Islands,41,37,40
St Pierre and Miquelon,36,38,36
Saint Barthelemy,36,36,36
Kiribati,31,35,32
Svalbard,36,30,32
Palau,31,33,30
Andaman and Nicobar,32,29,32
Vatican City,31,30,29
Wallis and Futuna,31,27,30
Micronesia,29,28,27
Christmas Island,26,25,24
Saint Helena,30,25,20
Cocos (Keeling) Islands,28,20,27
Ascension,24,19,14
Pitcairn Islands,15,11,13
Niue,15,13,10
Tokelau,13,12,10
Marshall Islands,14,10,11
Norfolk Island,15,11,9
Tristan da Cunha,10,15,10
Falkland Islands,9,9,15
Nauru,10,6,15
SGSSI,6,5,11
(TAAF),1,1,1
Heard Island (HIMI),1,1,1
Antarctica,1,1,1
Midway Atoll,1,1,1
Bouvet Island,1,1,1
North Sentinel Island,1,1,1
Disappointment Island,1,1,1
Inaccessible Island,1,1,1
Liverpool,85,86,83
Arsenal,86,84,84
Manchester City,85,85,82
Man City,85,85,82
Newcastle,81,84,80
Tottenham,79,81,81
Spurs,79,81,81
Aston Villa,83,81,80
Chelsea,80,82,80
Manchester United,82,80,79
Man United,82,80,79
Crystal Palace,78,77,80
Nottingham,79,79,79
Forest,79,79,79
Brighton,78,78,78
Bournemouth,79,78,77
Everton,76,78,77
West Ham,78,77,77
Brentford,77,77,77
Fulham,76,77,78
Leeds,75,76,76
Sunderland,75,76,77
Wolves,76,76,75
Burnley,73,75,75
Real Madrid,88,86,83
Barcelona,85,87,82
Inter,86,84,83
PSG,85,86,85
Juventus,81,80,80
Benfica,79,78,77
Bayern,89,85,82
Marseille,81,79,79
Dortmund,83,80,82
AC Milan,82,79,78
Sporting,79,80,77
Napoli,79,82,80
Leverkusen,82,79,77
Atletico,84,81,82
Atletico Madrid,85,81,82
Frankfurt,77,78,80
Eintracht Frankfurt,77,78,80
Atalanta,79,79,79
Club Brugge,73,76,73
PSV,76,80,76
Villarreal,80,79,77
Bodo/Glimt,70,73,70
Olympiacos,79,76,75
Ajax,76,75,74
Monaco,77,75,77
Copenhagen,73,72,71
Galatasaray,84,80,79
Union SG,74,73,75
Slavia Praha,74,75,73
Qarabag,67,69,67
Qarabag FK,67,69,67
Athletic Club,79,81,78
Athletic,79,81,78
Pafos,70,69,68
Kairat,65,68,65
Kairat Almaty,65,68,65
Paris Saint-EPO,94,93,94
